Time_epoch,Transmitted_speed (km/hr),Transmitted_latitude (degrees),Transmitted_longitude (degrees),Transmitted_altitude (meters),Transmitted_heading_angle (degrees),Transmitted_timestamp (HH:MM:SS.mmm),Cloud_latitude (degrees),Cloud_longitude (degrees),Distance (meters),Received_packet_timestamp (HH:MM:SS.mmm),Latency_of_packet_transmission (ms),Packet_error_rate,Cloud_total_transferred_data (MBytes),Cloud_average_bandwidth_client (Mbits/sec),Cloud_total_transferred_data_server (MBytes),Cloud_average_bandwidth_server (Mbits/sec),Cloud_download_speed (Mbits/sec),Cloud_upload_speed (Mbits/sec),Cloud_latency (ms),Data_rate (Mbits/sec)
1715959891,54,17.6027377,78.1269111,522.211,276.4495347,30:58.8,17.59994,78.1257,336.5326198,30:58.9,55,0.091384131,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959892,46,17.6027377,78.1269111,522.211,90,30:58.9,17.59994,78.1257,336.5326198,30:59.0,58,0.029301634,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959893,56,17.6027408,78.1268614,522.255,273.5691572,30:59.0,17.59994,78.1257,334.8793634,30:59.1,51,0.205269908,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959894,56,17.6027384,78.1268103,522.222,267.3109805,30:59.1,17.59994,78.1257,332.6769958,30:59.2,55,0.132045748,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959895,60,17.6027384,78.1268103,522.222,90,30:59.2,17.59994,78.1257,332.6769958,30:59.3,50,0.03661147,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959896,39,17.6027273,78.1267628,514.051,256.8469134,30:59.3,17.59994,78.1257,329.7693328,30:59.4,51,0.148553073,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959897,57,17.6027132,78.1267095,513.33,255.1823843,30:59.4,17.59994,78.1257,326.4009968,30:59.5,59,0.010316556,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959898,57,17.6027132,78.1267095,513.33,90,30:59.5,17.59994,78.1257,326.4009968,30:59.6,51,0.272796121,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959899,45,17.6026839,78.1266702,513.661,233.2937373,30:59.6,17.59994,78.1257,321.9703424,30:59.7,55,0.077633994,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959900,44,17.6026534,78.1266381,514.456,226.4641101,30:59.7,17.59994,78.1257,317.6771246,30:59.8,54,0.198756685,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959901,59,17.6026534,78.1266381,514.456,90,30:59.8,17.59994,78.1257,317.6771246,30:59.9,54,0.093513323,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959902,59,17.6026166,78.1266156,514.487,211.4421594,30:59.9,17.59994,78.1257,313.045896,31:00.0,59,0.156020406,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959903,44,17.6025816,78.1266118,521.998,186.1964134,31:00.0,17.59994,78.1257,309.222041,31:00.1,50,0.164013084,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959904,59,17.6025816,78.1266118,521.998,90,31:00.1,17.59994,78.1257,309.222041,31:00.2,57,0.055456337,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959905,48,17.6025467,78.1266074,521.943,187.1856254,31:00.2,17.59994,78.1257,305.3909542,31:00.3,60,0.290875388,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959906,41,17.602514,78.126608,521.992,178.9488192,31:00.3,17.59994,78.1257,301.9623296,31:00.4,56,0.232539847,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
1715959907,52,17.602514,78.126608,521.992,90,31:00.4,17.59994,78.1257,301.9623296,31:00.5,59,0.281849682,3.1,2.6,2.81,2.21,85.14,59.91,55.925,2.6
